first_author_last_name,year,city,country,study_design,intervention,metric,type of measure,measure,equity_group1,equity1_sample_size,equity_group2,equity2_sample_size,comparison_group,comparison_sample,comparison_group1,comparison_sample1,reliability,reliability_finding,validity,validity_finding,analysis,results ,conclusions,link_to_measure,notes
de Matos,2018,"Salvador, Vitória, Belo Horizonte, Rio de Janeiro, São Paulo, and Porto Alegre",Brazil,cross-sectional,NA,walkability and bikeability,self-reported,"No name. variables of interest were those referring to traffic conditions, individuals’ perceptions of their own safety when practicing physical activity, violence in the neighborhood, and conditions and opportunities for physical activity, including active commuting. The participants were asked questions such as “Is traffic heavy in your neighborhood?”; “Do you feel safe walking during the day and at night in your neighborhood?”; “Does your neighborhood provide facilities for people to be physically active (walking, biking)?” and “Are there many opportunities to practice physical activities or sports in clubs, gyms or other spaces in your neighborhood?”. ",gender,8218 women/6887 men,NA,NA,NA,NA,NA,NA,No,NA,No,NA,hierarchical logistic regression with commuting by bicycling and walking as DVs,"W: individuals who perceived vehicular traffic in their neighborhood as heavy participated more in commuting by bicycling and walking, whereas those who reported not feeling safe to practice PA in their neighbourhood and who reported there were no opportunities for practising PA in the neighbourhood were less likely to participate in commuting physical activity
M: individuals who perceived vehicular traffic in their neighborhood as heavy and those who reported violence in the neighbourhood was not a problem for the practice of PA participated more in commuting by bicycling and walking, whereas those who reported not feeling safe to practice PA in their neighbourhood and who did not find the neighbourhood suitable for walking or biking were less likely to participate in commuting physical activity",,https://www.scielosp.org/article/rsp/2013.v47suppl2/122-130/en/,n=14876; 35-74 yrs-old; doi.org/10.1177/0890117117738400
Kamphuis,2008,Melbourne,Australia,cross-sectional,NA,bikeability,audit,"SPACES (Systematic Pedestrian and Cycling Environmental Scan) instrument. Based on the framework of Pikora and colleagues19 we assessed four domains of objective area characteristics, ie design (cycling paths/lanes, streets, street width, alternative routes), safety (lighting, traffic control), destination features (bike parking facilities and destinations such as education institutions, shops (all types), post offices, sport facilities and public transport stops/stations) and aesthetics (streetscape, views, maintenance). ",NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Both inter- and intrarater reliability of the items in the instrument have been found to be high in general;24 however, in the current investigation 7 of the 31 items (ie path maintenance, path continuity, traffic volume, traffic speed limits, path/lane obstruction, cleanliness, architecture) were excluded from the analyses because of their low inter-rater reliability (κ <0.30).",Not in this paper,,multilevel regression with cycling for recreation as DV,"Design features: Presence of an on-road cycle lane, total track length (km), prevalence of traffic control devices and prevalence of alternative routes were significantly related to recreational cycling. 
Safety features: Verge width (inverse association) and absence of driveway crossovers) showed a (borderline) significant association with recreational cycling.
Destination features: Prevalence of destinations showed a (borderline) significant association with recreational cycling.
Aesthetic features: Total park area and lack of garden maintenance (inverse association) showed a (borderline) significant association with recreational cycling. 
* As shown in parentheses, larger verge width and lack of garden maintenance was negatively associated with recreational cycling, whereas the other features showed a positive association.
* Total track length and park area measured with GIS; other indicators from audit
Area-level SE inequalities in cycling: When design, safety, or destination features were added to the model, area socioeconomic inequalities increased marginally. However, area socioeconomic inequalities were attenuated when aesthetic features were added to the model.",,https://www.sciencedirect.com/science/article/pii/S0749379702004981,trying to explain differences in cycling between different area-level SES; n=2203; doi.org/10.1136/jech.2007.067116
Macmillan,2018,Auckland,New Zealand,Pre-post; controlled,Retrofitting street changes (self-explaining streets) to increase walking and cycling,walkability and bikeability,self-reported & virtual audit,"Self-reported:
NEWS-A (Neighbourhood Environment Walkability Scale-Abbreviated version) for neighbourhood perceptions.
Perceived ease of cycling in the neighbourhood was assessed using an item from the Australian Cycling Connecting Communities Study. 
Perceived neighbourhood safety, social cohesion, and social connection were assessed using items from the Ranui Action Project Survey.

Virtual audit:
NZ Systematic Pedestrian and Cycling Environment Scan audit tool ",Low income (based on nbg SES),NA,Indigenous and racilized,NA,NA,NA,NA,NA,No,No,No,No,One of the DVs = PA (step counts),Protocol paper so no results yet. Useful for identifying tools though.,,"NEWS-A: doi: 10.1249/01.mss.0000227639.83607.4d
Australian Cycling Connecting Communities Study: item associated with residents wanting to ride more and was predictive of past cycling in previous studies: https://journals.humankinetics.com/view/journals/jpah/7/2/article-p267.xml
Ranui Action research project: https://www.sciencedirect.com/science/article/pii/S1353829216303975 ",Protocole paper; 2 neighbourhoods (1 intervention & 1 control)
Zieff,2018,"Bogota, San Francisco and Temuco","Colombia, USA and Chile",pre-post (comparing a non-OS event day to OS event day),Open streets programs,walkability and bikeability,audit,"Survey part of the Stanford Neighborhood Discovery Tool: 25-item demographic/environmental observation survey ((e.g., cracks in sidewalks, sidewalk corner ramps, traffic calming facilities  gangs, homeless, garbage, graffiti).
Note that the Stanford Neighborhood Discovery Tool is technically a tablet or smartphone based participatory tool that incorporates photo and voice technology, GPS but also a more standard survey (described above)",area-level SES,"Bogotà: 32 adults from low-, middle- and high-income nbg",older adults (65-89 yrs-old),Temuco: 8 older adults,NA,NA,NA,NA,No,NA,No,NA,"Pre-post comparison of environmental characteristics, comparing non-event day to OS event day",No statistically significant differences in perceived environmental characteristics between sites (cities),"DT was a useful tool for training local citizen scientists to notice changes to the
built environment that support or interfere with PA.
The reported differences in results across sites suggests that the DT is sensitive enough to allow respondents to
report context-specific built environmental infrastructure as well as elements of OS initiatives that support
PA or that need improvement. ",https://www.sciencedirect.com/science/article/pii/S0749379712009361?via%3Dihub,no actual pre-post results presented; hard to tell if audit was actually used or if relied more on the picutres and thematic analysis; doi.org/10.1007/s11524-018-0262-6
Roberts,2018,Prince George (Washington DC suburb),USA,natural experiment,light rail implementation,walkability and bikeability,audit,Analytic Audit Tool,racialized,NA,youth (12-17),NA,neighbourhood without light rail,NA,NA,NA,No,NA,No,NA,Latent growth curve models,NA,NA (protocol paper),https://www.midss.org/content/analytic-audit-tool-and-checklist-audit-tool/,Protocol paper; Teams of at least two people per street segment will conduct the audits. Inter- and intra-observer reliability testing will be conducted to assess the percentage of agreement within and between auditors
Bojorquez,2021,"Tijuana, Juarez",Mexico,cross-sectional,NA,walkability,audit,"Physical Activity Resources Assessment (PARA), an inventory assessing three dimen- sions: facilities for physical activity (e.g. sports fields, playground), amenities (e.g. benches, drinking fountains), and incivilities (e.g. litter, graffiti).",NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Multilevel model examining persons in neighborhoods with three concepts from PARA and covariates.,Pedestrian spaces (walkability) significantly associated with MVPA in the sample. Incivilities and public park access not associated withe MVPA. ,,https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-2-13,
Holliday,2020,Pittsburg,USA,natural experiment,general investments in one neighbourhood,walkability,audit,"Bridge the Gap Street Segment Tool. 15-item walkability index assessed traffic signs at intersections, pedestrian crossings, sidewalks, lighting, transit, and mixed use.",NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Difference in differences between neighbourhoods and two time points. ,"For walkability, respondents in the Hill District experienced a significant increase in walkability (mean 1.55; p < 0.001).",,1. https://www.sciencedirect.com/science/article/abs/pii/S0749379712008008,2. https://jech.bmj.com/content/61/11/978
Calise,2019,"Springfield, Missourie",USA,cross-sectional,NA,walkability,self-reported,Physical Activity Neighbourhood Environment Scale,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,Logistic regression,"Perceived high walkability (odds ratio [OR]: 1.6), low crime (OR: 1.7), and high social cohesion (OR: 1.7) were associated with ease of purchase of Fruits and Vegetables and Low Fat Products.",,1. https://pubmed.ncbi.nlm.nih.gov/12948979/,2. https://www.researchgate.net/publication/45494433_Evaluating_a_Brief_Self-Report_Measure_of_Neighborhood_Environments_for_Physical_Activity_Research_and_Surveillance_Physical_Activity_Neighborhood_Environment_Scale_PANES
Casagrande,2011,Baltimore,USA,cross-sectional,NA,walkability,audit,Pedestrian Environment Data Scan (PEDS),Black,2094,SES,2059,White,1396,High SES,1431,No,NA,No,NA,Multilevel Logistic Regression,"Among individuals living in pre- dominately White neighborhoods, residing in a high walkability neighborhood (highest tertile of walkability) was associated with a significantly lower prevalence of obesity compared with individuals living in neighborhoods with poor walkability (lowest tertile) (prevalence ratio [PR]=0.58; P<.001). A similar association for obesity was found among individuals residing in high- and low-SES neighborhoods (PR=0.80; P=.004 and PR=0.83; P=.046, respectively). There was no significant association among individuals residing in predominately Black neighborhoods.",,1. https://www.sciencedirect.com/science/article/abs/pii/S0169204606001101,
Hoyt,2014,San Francisco,USA,cross-sectional,NA,walkability,audit,"No name. Four scales were examined in the current study: (1) food and service retail (included chain fast- food restaurant; supermarket; other convenience food restaurant; laundry or dry cleaners; full-service restaurant; coffee shop); (2) recreation (included park; walking or hiking trails; sports/ playing field, basketball courts or ten- nis courts); (3) walkability (included street shoulders or wide outside lanes; curb bulb out/curb extension; traffic circle/roundabout); and (4) physical disorder (included garbage, litter, or broken glass on sidewalks or streets; graffiti on buildings). ",NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,GEE. Time nested in participants. ,"Both the food and service retail scale (OR 2.40;1.44 to 4.02) and physical disorder scale (OR = 2.53; 95% CI, 1.28 to 5.01) predicted increased odds of obesity over the 4-year transition from late childhood to early adolescence. Walkability was not associated. ",,https://pubmed.ncbi.nlm.nih.gov/20515487/,Modifed version of the St. Louis Audit Tool: https://cpb-us-w2.wpmucdn.com/sites.wustl.edu/dist/3/262/files/2017/04/Brownson_Audit-reliability_JPAH_July-2004-1ndb5c9.pdf
